"CurrencyRateID","CurrencyRateDate","FromCurrencyCode","ToCurrencyCode","AverageRate","EndOfDayRate","ModifiedDate"
1,"2001-07-01 00:00:00","USD","ARS",1.0,1.0002,"2001-07-01 00:00:00"
2,"2001-07-01 00:00:00","USD","AUD",1.5491,1.55,"2001-07-01 00:00:00"
3,"2001-07-01 00:00:00","USD","BRL",1.9379,1.9419,"2001-07-01 00:00:00"
4,"2001-07-01 00:00:00","USD","CAD",1.4641,1.4683,"2001-07-01 00:00:00"
5,"2001-07-01 00:00:00","USD","CNY",8.2781,8.2784,"2001-07-01 00:00:00"
6,"2001-07-01 00:00:00","USD","DEM",1.8967,1.8976,"2001-07-01 00:00:00"
7,"2001-07-01 00:00:00","USD","EUR",0.9697,0.9703,"2001-07-01 00:00:00"
8,"2001-07-01 00:00:00","USD","FRF",6.3611,6.3613,"2001-07-01 00:00:00"
9,"2001-07-01 00:00:00","USD","GBP",0.6183,0.6183,"2001-07-01 00:00:00"
10,"2001-07-01 00:00:00","USD","JPY",104.91,104.958,"2001-07-01 00:00:00"
11,"2001-07-01 00:00:00","USD","MXN",9.374,9.384,"2001-07-01 00:00:00"
12,"2001-07-01 00:00:00","USD","SAR",3.7507,3.7584,"2001-07-01 00:00:00"
13,"2001-07-01 00:00:00","USD","VEB",634.5099,634.6,"2001-07-01 00:00:00"
14,"2001-07-02 00:00:00","USD","ARS",1.0,0.9991,"2001-07-02 00:00:00"
15,"2001-07-02 00:00:00","USD","AUD",1.5559,1.5558,"2001-07-02 00:00:00"
16,"2001-07-02 00:00:00","USD","BRL",1.9339,1.933,"2001-07-02 00:00:00"
17,"2001-07-02 00:00:00","USD","CAD",1.4661,1.4637,"2001-07-02 00:00:00"
18,"2001-07-02 00:00:00","USD","CNY",8.2781,8.2774,"2001-07-02 00:00:00"
19,"2001-07-02 00:00:00","USD","DEM",1.8924,1.8922,"2001-07-02 00:00:00"
20,"2001-07-02 00:00:00","USD","EUR",0.9676,0.967,"2001-07-02 00:00:00"
21,"2001-07-02 00:00:00","USD","FRF",6.3468,6.3465,"2001-07-02 00:00:00"
22,"2001-07-02 00:00:00","USD","GBP",0.6166,0.6162,"2001-07-02 00:00:00"
23,"2001-07-02 00:00:00","USD","JPY",105.7,105.674,"2001-07-02 00:00:00"
24,"2001-07-02 00:00:00","USD","MXN",9.3949,9.3919,"2001-07-02 00:00:00"
25,"2001-07-02 00:00:00","USD","SAR",3.7507,3.7507,"2001-07-02 00:00:00"
26,"2001-07-02 00:00:00","USD","VEB",634.25,634.24,"2001-07-02 00:00:00"
27,"2001-07-03 00:00:00","USD","ARS",1.0,1.0004,"2001-07-03 00:00:00"
28,"2001-07-03 00:00:00","USD","AUD",1.5592,1.5597,"2001-07-03 00:00:00"
29,"2001-07-03 00:00:00","USD","BRL",1.9359,1.944,"2001-07-03 00:00:00"
30,"2001-07-03 00:00:00","USD","CAD",1.4672,1.4734,"2001-07-03 00:00:00"
31,"2001-07-03 00:00:00","USD","CNY",8.2781,8.2789,"2001-07-03 00:00:00"
32,"2001-07-03 00:00:00","USD","DEM",1.8796,1.8802,"2001-07-03 00:00:00"
33,"2001-07-03 00:00:00","USD","EUR",0.961,0.9615,"2001-07-03 00:00:00"
34,"2001-07-03 00:00:00","USD","FRF",6.3041,6.3041,"2001-07-03 00:00:00"
35,"2001-07-03 00:00:00","USD","GBP",0.6156,0.6163,"2001-07-03 00:00:00"
36,"2001-07-03 00:00:00","USD","JPY",105.53,105.604,"2001-07-03 00:00:00"
37,"2001-07-03 00:00:00","USD","MXN",9.355,9.355,"2001-07-03 00:00:00"
38,"2001-07-03 00:00:00","USD","SAR",3.7505,3.757,"2001-07-03 00:00:00"
39,"2001-07-03 00:00:00","USD","VEB",634.75,634.7999,"2001-07-03 00:00:00"
40,"2001-07-04 00:00:00","USD","ARS",1.0,1.0,"2001-07-04 00:00:00"
41,"2001-07-04 00:00:00","USD","AUD",1.5645,1.5634,"2001-07-04 00:00:00"
42,"2001-07-04 00:00:00","USD","BRL",1.9295,1.925,"2001-07-04 00:00:00"
43,"2001-07-04 00:00:00","USD","CAD",1.4672,1.4609,"2001-07-04 00:00:00"
44,"2001-07-04 00:00:00","USD","CNY",8.2783,8.2782,"2001-07-04 00:00:00"
45,"2001-07-04 00:00:00","USD","DEM",1.8811,1.8801,"2001-07-04 00:00:00"
46,"2001-07-04 00:00:00","USD","EUR",0.9617,0.9617,"2001-07-04 00:00:00"
47,"2001-07-04 00:00:00","USD","FRF",6.309,6.308,"2001-07-04 00:00:00"
48,"2001-07-04 00:00:00","USD","GBP",0.6163,0.6159,"2001-07-04 00:00:00"
49,"2001-07-04 00:00:00","USD","JPY",105.77,105.682,"2001-07-04 00:00:00"
50,"2001-07-04 00:00:00","USD","MXN",9.346,9.3369,"2001-07-04 00:00:00"
51,"2001-07-04 00:00:00","USD","SAR",3.7492,3.7416,"2001-07-04 00:00:00"
52,"2001-07-04 00:00:00","USD","VEB",635.75,635.6599,"2001-07-04 00:00:00"
53,"2001-07-05 00:00:00","USD","ARS",1.0,1.0004,"2001-07-05 00:00:00"
54,"2001-07-05 00:00:00","USD","AUD",1.5667,1.567,"2001-07-05 00:00:00"
55,"2001-07-05 00:00:00","USD","BRL",1.9319,1.937,"2001-07-05 00:00:00"
56,"2001-07-05 00:00:00","USD","CAD",1.464,1.4673,"2001-07-05 00:00:00"
57,"2001-07-05 00:00:00","USD","CNY",8.2784,8.2788,"2001-07-05 00:00:00"
58,"2001-07-05 00:00:00","USD","DEM",1.8978,1.8984,"2001-07-05 00:00:00"
59,"2001-07-05 00:00:00","USD","EUR",0.9704,0.9711,"2001-07-05 00:00:00"
60,"2001-07-05 00:00:00","USD","FRF",6.3654,6.3658,"2001-07-05 00:00:00"
61,"2001-07-05 00:00:00","USD","GBP",0.6185,0.6186,"2001-07-05 00:00:00"
62,"2001-07-05 00:00:00","USD","JPY",106.11,106.182,"2001-07-05 00:00:00"
63,"2001-07-05 00:00:00","USD","MXN",9.335,9.3369,"2001-07-05 00:00:00"
64,"2001-07-05 00:00:00","USD","SAR",3.7507,3.7606,"2001-07-05 00:00:00"
65,"2001-07-05 00:00:00","USD","VEB",636.25,636.33,"2001-07-05 00:00:00"
66,"2001-07-06 00:00:00","USD","ARS",1.0,0.9995,"2001-07-06 00:00:00"
67,"2001-07-06 00:00:00","USD","AUD",1.5642,1.5636,"2001-07-06 00:00:00"
68,"2001-07-06 00:00:00","USD","BRL",1.933,1.925,"2001-07-06 00:00:00"
69,"2001-07-06 00:00:00","USD","CAD",1.4641,1.4563,"2001-07-06 00:00:00"
70,"2001-07-06 00:00:00","USD","CNY",8.2784,8.278,"2001-07-06 00:00:00"
71,"2001-07-06 00:00:00","USD","DEM",1.9007,1.8997,"2001-07-06 00:00:00"
72,"2001-07-06 00:00:00","USD","EUR",0.9718,0.9715,"2001-07-06 00:00:00"
73,"2001-07-06 00:00:00","USD","FRF",6.3746,6.3742,"2001-07-06 00:00:00"
74,"2001-07-06 00:00:00","USD","GBP",0.6179,0.6173,"2001-07-06 00:00:00"
75,"2001-07-06 00:00:00","USD","JPY",106.42,106.403,"2001-07-06 00:00:00"
76,"2001-07-06 00:00:00","USD","MXN",9.335,9.327,"2001-07-06 00:00:00"
77,"2001-07-06 00:00:00","USD","SAR",3.7507,3.75,"2001-07-06 00:00:00"
78,"2001-07-06 00:00:00","USD","VEB",636.25,636.25,"2001-07-06 00:00:00"
79,"2001-07-07 00:00:00","USD","ARS",1.0,1.0005,"2001-07-07 00:00:00"
80,"2001-07-07 00:00:00","USD","AUD",1.5645,1.5652,"2001-07-07 00:00:00"
81,"2001-07-07 00:00:00","USD","BRL",1.933,1.9379,"2001-07-07 00:00:00"
82,"2001-07-07 00:00:00","USD","CAD",1.4621,1.4661,"2001-07-07 00:00:00"
83,"2001-07-07 00:00:00","USD","CNY",8.2784,8.2784,"2001-07-07 00:00:00"
84,"2001-07-07 00:00:00","USD","DEM",1.8987,1.899,"2001-07-07 00:00:00"
85,"2001-07-07 00:00:00","USD","EUR",0.9708,0.9716,"2001-07-07 00:00:00"
86,"2001-07-07 00:00:00","USD","FRF",6.3678,6.3681,"2001-07-07 00:00:00"
87,"2001-07-07 00:00:00","USD","GBP",0.6177,0.6179,"2001-07-07 00:00:00"
88,"2001-07-07 00:00:00","USD","JPY",106.38,106.4479,"2001-07-07 00:00:00"
89,"2001-07-07 00:00:00","USD","MXN",9.335,9.3439,"2001-07-07 00:00:00"
90,"2001-07-07 00:00:00","USD","SAR",3.7509,3.7566,"2001-07-07 00:00:00"
91,"2001-07-07 00:00:00","USD","VEB",636.25,636.2899,"2001-07-07 00:00:00"
92,"2001-07-08 00:00:00","USD","ARS",1.0,0.9998,"2001-07-08 00:00:00"
93,"2001-07-08 00:00:00","USD","AUD",1.5679,1.5678,"2001-07-08 00:00:00"
94,"2001-07-08 00:00:00","USD","BRL",1.933,1.923,"2001-07-08 00:00:00"
95,"2001-07-08 00:00:00","USD","CAD",1.4623,1.4604,"2001-07-08 00:00:00"
96,"2001-07-08 00:00:00","USD","CNY",8.2784,8.2779,"2001-07-08 00:00:00"
97,"2001-07-08 00:00:00","USD","DEM",1.8965,1.8957,"2001-07-08 00:00:00"
98,"2001-07-08 00:00:00","USD","EUR",0.9697,0.969,"2001-07-08 00:00:00"
99,"2001-07-08 00:00:00","USD","FRF",6.3605,6.3605,"2001-07-08 00:00:00"
100,"2001-07-08 00:00:00","USD","GBP",0.6171,0.6163,"2001-07-08 00:00:00"
101,"2001-07-08 00:00:00","USD","JPY",105.74,105.7159,"2001-07-08 00:00:00"
102,"2001-07-08 00:00:00","USD","MXN",9.325,9.323,"2001-07-08 00:00:00"
103,"2001-07-08 00:00:00","USD","SAR",3.7507,3.741,"2001-07-08 00:00:00"
104,"2001-07-08 00:00:00","USD","VEB",636.3999,636.32,"2001-07-08 00:00:00"
105,"2001-07-09 00:00:00","USD","ARS",1.0,1.0008,"2001-07-09 00:00:00"
106,"2001-07-09 00:00:00","USD","AUD",1.5726,1.5734,"2001-07-09 00:00:00"
107,"2001-07-09 00:00:00","USD","BRL",1.933,1.9339,"2001-07-09 00:00:00"
108,"2001-07-09 00:00:00","USD","CAD",1.4658,1.4752,"2001-07-09 00:00:00"
